Vergleich von Intel® Produktdaten
2024/11/28 17:25:40
 ,Intel® Core™ i7-8700K Processor ,Intel® Core™ i7-8700 Processor ,Intel® Core™ i7-8700T Processor ,Intel® Core™ i7-12700 Processor ,Intel® Core™ i7-12700F Processor ,Intel® Core™ i7-12700K Processor ,Intel® Core™ i7-12700KF Processor ,Intel® Core™ i7-12700T Processor ,Intel® Core™ i7+8700 Processor (12M Cache, up to 4.60 GHz) includes Intel® Optane™ Memory ,Intel® Core™ i7-8086K Processor ,Intel® Core™ i7-9700K Processor ,Intel® Core™ i7-9700KF Processor ,Intel® Core™ i7-9700T Processor ,Intel® Core™ i7-9700 Processor ,Intel® Core™ i7-9700F Processor ,Intel® Core™ i7-10700T Processor ,Intel® Core™ i7-10700 Processor ,Intel® Core™ i7-10700F Processor ,Intel® Core™ i7-10700KF Processor ,Intel® Core™ i7-10700K Processor ,Intel® Core™ i7-11700K Processor ,Intel® Core™ i7-11700KF Processor ,Intel® Core™ i7-11700T Processor ,Intel® Core™ i7-11700 Processor ,Intel® Core™ i7-11700F Processor ,Intel® Core™ i7-13700KF Processor ,Intel® Core™ i7-13700 Processor ,Intel® Core™ i7-13700F Processor ,Intel® Core™ i7-13700T Processor ,Intel® Core™ i7-13700K Processor ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i7 processor 14700T ,Intel® Core™ i7 processor 14700F ,Intel® Core™ i7-4765T Processor ,Intel® Core™ i7-4770 Processor ,Intel® Core™ i7-4770K Processor ,Intel® Core™ i7-4770S Processor ,Intel® Core™ i7-4770T Processor ,Intel® Core™ i7-4770R Processor ,Intel® Core™ i7-4771 Processor ,Intel® Core™ i7-4790 Processor ,Intel® Core™ i7-4790K Processor ,Intel® Core™ i7-4790S Processor ,Intel® Core™ i7-4790T Processor ,Intel® Core™ i7-4785T Processor ,Intel® Core™ i7-5775R Processor ,Intel® Core™ i7-5775C Processor ,Intel® Core™ i7-6700K Processor ,Intel® Core™ i7-6700 Processor ,Intel® Core™ i7-6700T Processor ,Intel® Core™ i7-6785R Processor ,Intel® Core™ i7-7700T Processor ,Intel® Core™ i7-7700 Processor ,Intel® Core™ i7-7700K Processor 
Hauptdaten
Produktsortiment,Intel® Core™ i7 Prozessoren der 8. Generation,Intel® Core™ i7 Prozessoren der 8. Generation,Intel® Core™ i7 Prozessoren der 8. Generation,Intel® Core™ i7 Prozessoren der 12. Generation,Intel® Core™ i7 Prozessoren der 12. Generation,Intel® Core™ i7 Prozessoren der 12. Generation,Intel® Core™ i7 Prozessoren der 12. Generation,Intel® Core™ i7 Prozessoren der 12. Generation,Intel® Core™ i7 Prozessoren der 8. Generation,Intel® Core™ i7 Prozessoren der 8. Generation,Intel® Core™ i7 Prozessoren der 9. Generation,Intel® Core™ i7 Prozessoren der 9. Generation,Intel® Core™ i7 Prozessoren der 9. Generation,Intel® Core™ i7 Prozessoren der 9. Generation,Intel® Core™ i7 Prozessoren der 9. Generation,Intel® Core™ i7 Prozessoren der 10. Generation,Intel® Core™ i7 Prozessoren der 10. Generation,Intel® Core™ i7 Prozessoren der 10. Generation,Intel® Core™ i7 Prozessoren der 10. Generation,Intel® Core™ i7 Prozessoren der 10. Generation,Intel® Core™ i7 Prozessoren der 11. Generation,Intel® Core™ i7 Prozessoren der 11. Generation,Intel® Core™ i7 Prozessoren der 11. Generation,Intel® Core™ i7 Prozessoren der 11. Generation,Intel® Core™ i7 Prozessoren der 11. Generation,Intel® Core™ i7 Prozessoren der 13. Generation,Intel® Core™ i7 Prozessoren der 13. Generation,Intel® Core™ i7 Prozessoren der 13. Generation,Intel® Core™ i7 Prozessoren der 13. Generation,Intel® Core™ i7 Prozessoren der 13. Generation,Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Processors (14th gen),Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der vierten Generation,Intel® Core™ i7 Prozessoren der fünften Generation,Intel® Core™ i7 Prozessoren der fünften Generation,Intel® Core™ i7 Prozessoren der sechsten Generation,Intel® Core™ i7 Prozessoren der sechsten Generation,Intel® Core™ i7 Prozessoren der sechsten Generation,Intel® Core™ i7 Prozessoren der sechsten Generation,Intel® Core™ i7 Prozessoren der siebten Generation,Intel® Core™ i7 Prozessoren der siebten Generation,Intel® Core™ i7 Prozessoren der siebten Generation
Vertikales Segment,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop,Desktop
Prozessornummer,i7-8700K,i7-8700,i7-8700T,i7-12700,i7-12700F,i7-12700K,i7-12700KF,i7-12700T,i7-8700,i7-8086K,i7-9700K,i7-9700KF,i7-9700T,i7-9700,i7-9700F,i7-10700T,i7-10700,i7-10700F,i7-10700KF,i7-10700K,i7-11700K,i7-11700KF,i7-11700T,i7-11700,i7-11700F,i7-13700KF,i7-13700,i7-13700F,i7-13700T,i7-13700K,i7-14700,i7-14700K,i7-14700KF,i7-14700T,i7-14700F,i7-4765T,i7-4770,i7-4770K,i7-4770S,i7-4770T,i7-4770R,i7-4771,i7-4790,i7-4790K,i7-4790S,i7-4790T,i7-4785T,i7-5775R,i7-5775C,i7-6700K,i7-6700,i7-6700T,i7-6785R,i7-7700T,i7-7700,i7-7700K
Lithographie,14 nm,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,Intel 7,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,22 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm,14 nm
Empfohlener Kundenpreis,$359.00,$303.00,$303.00,$373.00-$383.00,$345.00-$355.00,$450.00-$460.00,$422.00-$432.00,$373.00,,,$374.00,,$323.00,$323.00,$298.00,$355.00,$365.00,$328.00-$338.00,$384.00-$394.00,$411.00-$421.00,$439.00-$449.00,$411.00-$421.00,$355.00,$355.00-$365.00,$328.00-$338.00,$384.00,$384.00-$394.00,$359.00-$369.00,$384.00,$409.00,$384.00-$394.00,$409.00-$419.00,$384.00-$394.00,$384.00,$359.00-$369.00,,,,,,,,,,,,,,,,$303.00,,,$303.00,$303.00,$339.00

CPU-Spezifikationen
Anzahl der Kerne,6,6,6,12,12,12,12,12,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,16,20,20,20,20,20,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Gesamte Threads,12,12,12,20,20,20,20,20,12,12,8,8,8,8,8,16,16,16,16,16,16,16,16,16,16,24,24,24,24,24,28,28,28,28,28,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Max. Turbo-Taktfrequenz,4 | 70 GHz,4 | 60 GHz,4 | 00 GHz,4 | 90 GHz,4 | 90 GHz,5 | 00 GHz,5 | 00 GHz,4 | 70 GHz,4 | 60 GHz,5 | 00 GHz,4 | 90 GHz,4 | 90 GHz,4 | 30 GHz,4 | 70 GHz,4 | 70 GHz,4 | 50 GHz,4 | 80 GHz,4 | 80 GHz,5 | 10 GHz,5 | 10 GHz,5 | 00 GHz,5 | 00 GHz,4 | 60 GHz,4 | 90 GHz,4 | 90 GHz,5 | 40 GHz,5 | 20 GHz,5 | 20 GHz,4 | 90 GHz,5 | 40 GHz,5 | 4 GHz,5 | 6 GHz,5 | 6 GHz,5 | 2 GHz,5 | 4 GHz,3 | 00 GHz,3 | 90 GHz,3 | 90 GHz,3 | 90 GHz,3 | 70 GHz,3 | 90 GHz,3 | 90 GHz,4 | 00 GHz,4 | 40 GHz,4 | 00 GHz,3 | 90 GHz,3 | 20 GHz,3 | 80 GHz,3 | 70 GHz,4 | 20 GHz,4 | 00 GHz,3 | 60 GHz,3 | 90 GHz,3 | 80 GHz,4 | 20 GHz,4 | 50 GHz
