produktsortiment;prozessornummer;litographie_nm;anzahl_der_kerne;gesamte_threads;max_turbo_taktfrequenz_GHz;intel_turbo_boost_technik_2_0_taktfrequenz_GHz;grundtaktfrequenz_des_prozessors_GHz;cache_MB;bus_taktfrequenz_GT_per_s;verlustleistung_tdp_W;x_of_performance_cores;x_of_efficiency_cores;intel_turbo_boost_max_technology_3_0_frequency_GHz;single_p_core_turbo_frequency_GHz;single_e_core_turbo_frequency_GHz;p_core_base_frequency;e_core_base_frequency_GHz;total_l2_cache_MB;processor_base_power_W;maximum_turbo_power_W;einfuhrungsdatum;expected_discontinuance;grundtaktfrequenz_der_grafik_MHz;max_dynamische_grafikfrequenz_GHz;max_videospeicher_der_grafik_GB;x4k_unterstutzung_at;max_auflosung_hdmi;max_auflosung_dp;max_auflosung_e_dp_integrierter_flachbildschirm;pci_express_konfigurationen;thermische_spezifikation_des_kuhlers
Intel® Core™ i7 Prozessoren der 8. Generation;i7-8700K;14;6;12;47;47;37;12;8;95;;;;;;;;;;;Q4'17;;350;12;64;60;4096 x 2304@24Hz;4096 x 2304@60Hz;4096 x 2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015D (130W)
Intel® Core™ i7 Prozessoren der 8. Generation;i7-8700;14;6;12;46;46;32;12;8;65;;;;;;;;;;;Q4'17;;350;12;64;60;4096 x 2304@24Hz;4096 x 2304@60Hz;4096 x 2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der 8. Generation;i7-8700T;14;6;12;4;4;24;12;8;35;;;;;;;;;;;Q2'18;;350;12;64;60;4096 x 2304@24Hz;4096 x 2304@60Hz;4096 x 2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015A (35W)
Intel® Core™ i7 Prozessoren der 12. Generation;i7-12700;10;12;20;49;;;25;;;8;4;49;48;36;2.10 GHz;16;12;65;180;Q1'22;;300;15;;;4096 x 2160 @ 60Hz;7680 x 4320 @ 60Hz;5120 x 3200 @ 120Hz;Up to 1x16+4 |  2x8+4;PCG 2020C
Intel® Core™ i7 Prozessoren der 12. Generation;i7-12700F;10;12;20;49;;;25;;;8;4;49;48;36;2.10 GHz;16;12;65;180;Q1'22;;;;;;;;;Up to 1x16+4 |  2x8+4;PCG 2020C
Intel® Core™ i7 Prozessoren der 12. Generation;i7-12700K;10;12;20;5;;;25;;;8;4;5;49;38;3.60 GHz;27;12;125;190;Q4'21;;300;15;;;4096 x 2160 @ 60Hz;7680 x 4320 @ 60Hz;5120 x 3200 @ 120Hz;Up to 1x16+4 |  2x8+4;PCG 2020A
Intel® Core™ i7 Prozessoren der 12. Generation;i7-12700KF;10;12;20;5;;;25;;;8;4;5;49;38;3.60 GHz;27;12;125;190;Q4'21;;;;;;;;;Up to 1x16+4 |  2x8+4;PCG 2020A
Intel® Core™ i7 Prozessoren der 12. Generation;i7-12700T;10;12;20;47;;;25;;;8;4;47;46;34;1.40 GHz;1;12;35;99;Q1'22;;300;15;;;4096 x 2160 @ 60Hz;7680 x 4320 @ 60Hz;5120 x 3200 @ 120Hz;Up to 1x16+4 |  2x8+4;PCG 2020D
Intel® Core™ i7 Prozessoren der 8. Generation;i7-8700;14;6;12;46;46;32;12;8;65;;;;;;;;;;;Q2'18;;350;12;64;60;4096 x 2304@24Hz;4096 x 2304@60Hz;4096 x 2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der 8. Generation;i7-8086K;14;6;12;5;5;4;12;8;95;;;;;;;;;;;Q2'18;;350;12;64;60;4096 x 2304@24Hz;4096 x 2304@60Hz;4096 x 2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015D (130W)
Intel® Core™ i7 Prozessoren der 9. Generation;i7-9700K;14;8;8;49;49;36;12;8;95;;;;;;;;;;;Q4'18;;350;12;64;60;4096 x 2304@24Hz;4096 x 2304@60Hz;4096 x 2304@60Hz;Up to 1x16 |  2x8 |  1x8+2x4;PCG 2015D
