Produktsortiment,Prozessornummer,Lithographie,Empfohlener Kundenpreis,Anzahl der Kerne,Gesamte Threads,Max. Turbo-Taktfrequenz,Intel® Turbo-Boost-Technik 2.0 Taktfrequenz‡,Grundtaktfrequenz des Prozessors,Cache,Bus-Taktfrequenz,Verlustleistung (TDP),# of Performance-cores,# of Efficiency-cores,Intel® Turbo Boost Max Technology 3.0 Frequency ‡,Single P-core Turbo Frequency,Single E-core Turbo Frequency,P-core Base Frequency,E-core Base Frequency,Total L2 Cache,Processor Base Power,Maximum Turbo Power,Einführungsdatum,Expected Discontinuance,Grundtaktfrequenz der Grafik,Max. dynamische Grafikfrequenz,Max. Videospeicher der Grafik,4K-Unterstützung,Max. Auflösung (HDMI)‡,Max. Auflösung (DP)‡,Max. Auflösung (eDP – integrierter Flachbildschirm)‡,PCI-Express-Konfigurationen ‡,Thermische Spezifikation des Kühlers
Intel® Core™ i7 Prozessoren der 8. Generation,i7-8700K,14 nm,$359.00,6,12,4.70 GHz,4.70 GHz,3 | 70 GHz,12 MB Intel® Smart Cache,8 GT/s,95 W,,,,,,,,,,,Q4'17,,350 MHz,1.20 GHz,64 GB,Yes |  at 60Hz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015D (130W)
Intel® Core™ i7 Prozessoren der 8. Generation,i7-8700,14 nm,$303.00,6,12,4.60 GHz,4.60 GHz,3 | 20 GHz,12 MB Intel® Smart Cache,8 GT/s,65 W,,,,,,,,,,,Q4'17,,350 MHz,1.20 GHz,64 GB,Yes |  at 60Hz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der 8. Generation,i7-8700T,14 nm,$303.00,6,12,4.00 GHz,4.00 GHz,2 | 40 GHz,12 MB Intel® Smart Cache,8 GT/s,35 W,,,,,,,,,,,Q2'18,,350 MHz,1.20 GHz,64 GB,Yes |  at 60Hz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015A (35W)
Intel® Core™ i7 Prozessoren der 12. Generation,i7-12700,Intel 7,$373.00-$383.00,12,20,4.90 GHz,,,25 MB Intel® Smart Cache,,,8,4,4 | 90 GHz,4.80 GHz,3.60 GHz,2.10 GHz,1.60 GHz,12 MB,65 W,180 W,Q1'22,,300 MHz,1.50 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020C
Intel® Core™ i7 Prozessoren der 12. Generation,i7-12700F,Intel 7,$345.00-$355.00,12,20,4.90 GHz,,,25 MB Intel® Smart Cache,,,8,4,4 | 90 GHz,4.80 GHz,3.60 GHz,2.10 GHz,1.60 GHz,12 MB,65 W,180 W,Q1'22,,,,,,,,,Up to 1x16+4 |  2x8+4,PCG 2020C
Intel® Core™ i7 Prozessoren der 12. Generation,i7-12700K,Intel 7,$450.00-$460.00,12,20,5.00 GHz,,,25 MB Intel® Smart Cache,,,8,4,5 | 00 GHz,4.90 GHz,3.80 GHz,3.60 GHz,2.70 GHz,12 MB,125 W,190 W,Q4'21,,300 MHz,1.50 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020A
Intel® Core™ i7 Prozessoren der 12. Generation,i7-12700KF,Intel 7,$422.00-$432.00,12,20,5.00 GHz,,,25 MB Intel® Smart Cache,,,8,4,5 | 00 GHz,4.90 GHz,3.80 GHz,3.60 GHz,2.70 GHz,12 MB,125 W,190 W,Q4'21,,,,,,,,,Up to 1x16+4 |  2x8+4,PCG 2020A
Intel® Core™ i7 Prozessoren der 12. Generation,i7-12700T,Intel 7,$373.00,12,20,4.70 GHz,,,25 MB Intel® Smart Cache,,,8,4,4 | 70 GHz,4.60 GHz,3.40 GHz,1.40 GHz,1.00 GHz,12 MB,35 W,99 W,Q1'22,,300 MHz,1.50 GHz,,,4096 x 2160 @ 60Hz,7680 x 4320 @ 60Hz,5120 x 3200 @ 120Hz,Up to 1x16+4 |  2x8+4,PCG 2020D
Intel® Core™ i7 Prozessoren der 8. Generation,i7-8700,14 nm,,6,12,4.60 GHz,4.60 GHz,3 | 20 GHz,12 MB Intel® Smart Cache,8 GT/s,65 W,,,,,,,,,,,Q2'18,,350 MHz,1.20 GHz,64 GB,Yes |  at 60Hz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015C (65W)
Intel® Core™ i7 Prozessoren der 8. Generation,i7-8086K,14 nm,,6,12,5.00 GHz,5.00 GHz,4 | 00 GHz,12 MB Intel® Smart Cache,8 GT/s,95 W,,,,,,,,,,,Q2'18,,350 MHz,1.20 GHz,64 GB,Yes |  at 60Hz,4096 x 2304@24Hz,4096 x 2304@60Hz,4096 x 2304@60Hz,Up to 1x16 |  2x8 |  1x8+2x4,PCG 2015D (130W)
